CNP,04/1/2015,low,18,5.354
CNP,04/1/2015,low,24,5.243
CNP,04/1/2015,low,36,5.411
CNP,04/1/2015,medium,6,5.236
CNP,04/1/2015,medium,9,4.959
CNP,04/1/2015,medium,12,4.879
CNP,04/1/2015,medium,18,5.141
CNP,04/1/2015,medium,24,5.051
CNP,04/1/2015,medium,36,5.213
CNP,04/1/2015,high,6,4.946
CNP,04/1/2015,high,9,4.693
CNP,04/1/2015,high,12,4.635
CNP,04/1/2015,high,18,4.866
CNP,04/1/2015,high,24,4.798
CNP,04/1/2015,high,36,4.952
TNMP,04/1/2015,low,6,5.542
TNMP,04/1/2015,low,9,5.24
TNMP,04/1/2015,low,12,5.148
TNMP,04/1/2015,low,18,5.433
TNMP,04/1/2015,low,24,5.329
TNMP,04/1/2015,low,36,5.501
TNMP,04/1/2015,medium,6,5.301
TNMP,04/1/2015,medium,9,5.033
TNMP,04/1/2015,medium,12,4.961
TNMP,04/1/2015,medium,18,5.219
TNMP,04/1/2015,medium,24,5.136
TNMP,04/1/2015,medium,36,5.302
TNMP,04/1/2015,high,6,5.009
TNMP,04/1/2015,high,9,4.766
TNMP,04/1/2015,high,12,4.716
TNMP,04/1/2015,high,18,4.943
TNMP,04/1/2015,high,24,4.882
TNMP,04/1/2015,high,36,5.039
ONC,04/1/2015,low,6,5.363
ONC,04/1/2015,low,9,5.044
ONC,04/1/2015,low,12,4.966
ONC,04/1/2015,low,18,5.245
ONC,04/1/2015,low,24,5.133
ONC,04/1/2015,low,36,5.29
ONC,04/1/2015,medium,6,5.089
ONC,04/1/2015,medium,9,4.812
ONC,04/1/2015,medium,12,4.75
ONC,04/1/2015,medium,18,5.002
ONC,04/1/2015,medium,24,4.91
ONC,04/1/2015,medium,36,5.062
ONC,04/1/2015,high,6,4.832
ONC,04/1/2015,high,9,4.594
ONC,04/1/2015,high,12,4.558
ONC,04/1/2015,high,18,4.779
ONC,04/1/2015,high,24,4.713
ONC,04/1/2015,high,36,4.859
AEP NORTH,04/1/2015,low,6,5.525
AEP NORTH,04/1/2015,low,9,5.24
AEP NORTH,04/1/2015,low,12,5.174
AEP NORTH,04/1/2015,low,18,5.465
AEP NORTH,04/1/2015,low,24,5.366
AEP NORTH,04/1/2015,low,36,5.536
AEP NORTH,04/1/2015,medium,6,5.338
AEP NORTH,04/1/2015,medium,9,5.065
AEP NORTH,04/1/2015,medium,12,5.013
AEP NORTH,04/1/2015,medium,18,5.282
AEP NORTH,04/1/2015,medium,24,5.2
AEP NORTH,04/1/2015,medium,36,5.364
AEP NORTH,04/1/2015,high,6,5.138
AEP NORTH,04/1/2015,high,9,4.888
AEP NORTH,04/1/2015,high,12,4.848
AEP NORTH,04/1/2015,high,18,5.099
AEP NORTH,04/1/2015,high,24,5.029
AEP NORTH,04/1/2015,high,36,5.19
AEP CENTRAL,04/1/2015,low,6,5.756
AEP CENTRAL,04/1/2015,low,9,5.422
AEP CENTRAL,04/1/2015,low,12,5.297
AEP CENTRAL,04/1/2015,low,18,5.577
AEP CENTRAL,04/1/2015,low,24,5.422
AEP CENTRAL,04/1/2015,low,36,5.549
AEP CENTRAL,04/1/2015,medium,6,5.382
AEP CENTRAL,04/1/2015,medium,9,5.082
AEP CENTRAL,04/1/2015,medium,12,4.995
AEP CENTRAL,04/1/2015,medium,18,5.226
AEP CENTRAL,04/1/2015,medium,24,5.107
AEP CENTRAL,04/1/2015,medium,36,5.223
AEP CENTRAL,04/1/2015,high,6,5.09
AEP CENTRAL,04/1/2015,high,9,4.824
AEP CENTRAL,04/1/2015,high,12,4.763
AEP CENTRAL,04/1/2015,high,18,4.96
AEP CENTRAL,04/1/2015,high,24,4.868
AEP CENTRAL,04/1/2015,high,36,4.975
CNP,05/1/2015,low,6,5.448
CNP,05/1/2015,low,9,5.177
CNP,05/1/2015,low,12,5.093
CNP,05/1/2015,low,18,5.372
CNP,05/1/2015,low,24,5.274
CNP,05/1/2015,low,36,5.439
CNP,05/1/2015,medium,6,5.219
CNP,05/1/2015,medium,9,4.976
CNP,05/1/2015,medium,12,4.908
CNP,05/1/2015,medium,18,5.162
CNP,05/1/2015,medium,24,5.082
CNP,05/1/2015,medium,36,5.242
CNP,05/1/2015,high,6,4.931
CNP,05/1/2015,high,9,4.709
CNP,05/1/2015,high,12,4.664
CNP,05/1/2015,high,18,4.887
CNP,05/1/2015,high,24,4.829
CNP,05/1/2015,high,36,4.98
TNMP,05/1/2015,low,6,5.514
TNMP,05/1/2015,low,9,5.25
TNMP,05/1/2015,low,12,5.177
TNMP,05/1/2015,low,18,5.451
TNMP,05/1/2015,low,24,5.361
TNMP,05/1/2015,low,36,5.529
TNMP,05/1/2015,medium,6,5.283
TNMP,05/1/2015,medium,9,5.049
TNMP,05/1/2015,medium,12,4.991
TNMP,05/1/2015,medium,18,5.24
TNMP,05/1/2015,medium,24,5.168
TNMP,05/1/2015,medium,36,5.331
TNMP,05/1/2015,high,6,4.993
TNMP,05/1/2015,high,9,4.78
TNMP,05/1/2015,high,12,4.745
TNMP,05/1/2015,high,18,4.964
TNMP,05/1/2015,high,24,4.914
TNMP,05/1/2015,high,36,5.068
ONC,05/1/2015,low,6,5.338
ONC,05/1/2015,low,9,5.082
ONC,05/1/2015,low,12,4.992
ONC,05/1/2015,low,18,5.257
ONC,05/1/2015,low,24,5.161
ONC,05/1/2015,low,36,5.316
ONC,05/1/2015,medium,6,5.078
ONC,05/1/2015,medium,9,4.855
ONC,05/1/2015,medium,12,4.777
ONC,05/1/2015,medium,18,5.018
ONC,05/1/2015,medium,24,4.939
ONC,05/1/2015,medium,36,5.088
ONC,05/1/2015,high,6,4.824
ONC,05/1/2015,high,9,4.64
ONC,05/1/2015,high,12,4.586
ONC,05/1/2015,high,18,4.797
ONC,05/1/2015,high,24,4.742
ONC,05/1/2015,high,36,4.886
AEP NORTH,05/1/2015,low,6,5.502
AEP NORTH,05/1/2015,low,9,5.272
AEP NORTH,05/1/2015,low,12,5.207
AEP NORTH,05/1/2015,low,18,5.48
AEP NORTH,05/1/2015,low,24,5.399
AEP NORTH,05/1/2015,low,36,5.565
AEP NORTH,05/1/2015,medium,6,5.322
AEP NORTH,05/1/2015,medium,9,5.099
AEP NORTH,05/1/2015,medium,12,5.047
AEP NORTH,05/1/2015,medium,18,5.301
AEP NORTH,05/1/2015,medium,24,5.233
AEP NORTH,05/1/2015,medium,36,5.394
AEP NORTH,05/1/2015,high,6,5.123
AEP NORTH,05/1/2015,high,9,4.921
AEP NORTH,05/1/2015,high,12,4.882
AEP NORTH,05/1/2015,high,18,5.117
AEP NORTH,05/1/2015,high,24,5.062
AEP NORTH,05/1/2015,high,36,5.219
AEP CENTRAL,05/1/2015,low,6,5.749
AEP CENTRAL,05/1/2015,low,9,5.453
AEP CENTRAL,05/1/2015,low,12,5.307
AEP CENTRAL,05/1/2015,low,18,5.582
AEP CENTRAL,05/1/2015,low,24,5.44
AEP CENTRAL,05/1/2015,low,36,5.566
AEP CENTRAL,05/1/2015,medium,6,5.379
AEP CENTRAL,05/1/2015,medium,9,5.128
AEP CENTRAL,05/1/2015,medium,12,5.006
AEP CENTRAL,05/1/2015,medium,18,5.232
AEP CENTRAL,05/1/2015,medium,24,5.126
AEP CENTRAL,05/1/2015,medium,36,5.239
AEP CENTRAL,05/1/2015,high,6,5.087
AEP CENTRAL,05/1/2015,high,9,4.871
